11.0.3_openj9,throughput gc,111.18
11.0.3_openj9,throughput gc,112.92
11.0.3_openj9,throughput gc,113.29
11.0.3_openj9,throughput gc,114.60
11.0.3_openj9,throughput gc,117.57
11.0.3_openj9,throughput gc,111.67
11.0.3_openj9,throughput gc,115.29
11.0.3_openj9,throughput gc,116.48
11.0.3_openj9,throughput gc,111.66
11.0.3_openj9,class cache,73.15
11.0.3_openj9,class cache,70.18
11.0.3_openj9,class cache,70.04
11.0.3_openj9,class cache,70.66
11.0.3_openj9,class cache,71.21
11.0.3_openj9,class cache,70.82
11.0.3_openj9,class cache,69.48
11.0.3_openj9,class cache,72.94
11.0.3_openj9,class cache,71.56
11.0.3_openj9,class cache,69.58
11.0.3_openj9,quick start,87.21
11.0.3_openj9,quick start,89.35
11.0.3_openj9,quick start,90.86
11.0.3_openj9,quick start,88.64
11.0.3_openj9,quick start,89.24
11.0.3_openj9,quick start,87.76
11.0.3_openj9,quick start,86.57
11.0.3_openj9,quick start,89.07
11.0.3_openj9,quick start,86.05
11.0.3_openj9,quick start,84.20
11.0.3_openj9,no verify,108.83
11.0.3_openj9,no verify,112.24
11.0.3_openj9,no verify,109.60
11.0.3_openj9,no verify,109.87
11.0.3_openj9,no verify,108.68
11.0.3_openj9,no verify,112.65
11.0.3_openj9,no verify,112.10
11.0.3_openj9,no verify,111.17
11.0.3_openj9,no verify,112.04
11.0.3_openj9,no verify,112.05
11.0.3_openj9,tuned,53.76
11.0.3_openj9,tuned,53.02
11.0.3_openj9,tuned,52.12
11.0.3_openj9,tuned,52.14
11.0.3_openj9,tuned,52.22
11.0.3_openj9,tuned,51.59
11.0.3_openj9,tuned,52.17
11.0.3_openj9,tuned,51.86
11.0.3_openj9,tuned,51.34
11.0.3_openj9,tuned,52.32
