8u202,baseline,51.50
8u202,baseline,56.95
8u202,baseline,53.48
8u202,baseline,58.98
8u202,baseline,51.88
8u202,baseline,56.37
8u202,baseline,53.68
8u202,baseline,56.49
8u202,baseline,54.28
8u202,baseline,56.76
8u202,baseline+native,49.43
8u202,baseline+native,47.26
8u202,baseline+native,50.70
8u202,baseline+native,49.26
8u202,baseline+native,49.41
8u202,baseline+native,48.18
8u202,baseline+native,51.09
8u202,baseline+native,48.49
8u202,baseline+native,50.02
8u202,baseline+native,49.49
8u202,tuned,46.81
8u202,tuned,47.47
8u202,tuned,45.92
8u202,tuned,49.11
8u202,tuned,46.18
8u202,tuned,46.91
8u202,tuned,45.55
8u202,tuned,49.07
8u202,tuned,46.42
8u202,tuned,47.26
8u202,tuned+native,45.36
8u202,tuned+native,44.63
8u202,tuned+native,45.75
8u202,tuned+native,44.65
8u202,tuned+native,45.92
8u202,tuned+native,43.38
8u202,tuned+native,47.13
8u202,tuned+native,44.48
8u202,tuned+native,44.67
8u202,tuned+native,42.05
8u202_openj9,baseline,96.90
8u202_openj9,baseline,94.51
8u202_openj9,baseline,96.58
8u202_openj9,baseline,91.40
8u202_openj9,baseline,93.92
8u202_openj9,baseline,92.64
8u202_openj9,baseline,97.31
8u202_openj9,baseline,97.35
8u202_openj9,baseline,89.81
8u202_openj9,baseline,96.17
8u202_openj9,baseline+native,82.46
8u202_openj9,baseline+native,81.67
8u202_openj9,baseline+native,84.86
8u202_openj9,baseline+native,78.98
8u202_openj9,baseline+native,78.51
8u202_openj9,baseline+native,80.93
8u202_openj9,baseline+native,81.47
8u202_openj9,baseline+native,79.22
8u202_openj9,baseline+native,82.28
8u202_openj9,baseline+native,81.06
8u202_openj9,tuned,42.83
8u202_openj9,tuned,43.80
8u202_openj9,tuned,44.36
8u202_openj9,tuned,43.10
8u202_openj9,tuned,45.81
8u202_openj9,tuned,42.40
8u202_openj9,tuned,42.62
8u202_openj9,tuned,42.74
8u202_openj9,tuned,47.07
8u202_openj9,tuned,44.30
8u202_openj9,tuned+native,39.30
8u202_openj9,tuned+native,41.06
8u202_openj9,tuned+native,42.19
8u202_openj9,tuned+native,39.06
8u202_openj9,tuned+native,41.19
8u202_openj9,tuned+native,38.96
8u202_openj9,tuned+native,40.68
8u202_openj9,tuned+native,38.91
8u202_openj9,tuned+native,39.68
8u202_openj9,tuned+native,41.99
8u202_graalvm,baseline,59.74
8u202_graalvm,baseline,62.07
8u202_graalvm,baseline,56.85
8u202_graalvm,baseline,63.49
8u202_graalvm,baseline,58.75
8u202_graalvm,baseline,63.00
8u202_graalvm,baseline,58.58
8u202_graalvm,baseline,61.85
8u202_graalvm,baseline,57.24
8u202_graalvm,baseline,62.00
8u202_graalvm,baseline+native,52.90
8u202_graalvm,baseline+native,53.49
8u202_graalvm,baseline+native,53.49
8u202_graalvm,baseline+native,55.34
8u202_graalvm,baseline+native,55.70
8u202_graalvm,baseline+native,54.21
8u202_graalvm,baseline+native,50.23
8u202_graalvm,baseline+native,52.12
8u202_graalvm,baseline+native,50.62
8u202_graalvm,baseline+native,52.28
11.0.2,baseline,72.98
11.0.2,baseline,71.78
11.0.2,baseline,74.40
11.0.2,baseline,78.70
11.0.2,baseline,70.39
11.0.2,baseline,73.14
11.0.2,baseline,74.56
11.0.2,baseline,67.99
11.0.2,baseline,72.31
11.0.2,baseline,77.14
11.0.2,baseline+native,61.89
11.0.2,baseline+native,62.78
11.0.2,baseline+native,64.14
11.0.2,baseline+native,61.87
11.0.2,baseline+native,60.97
11.0.2,baseline+native,60.56
11.0.2,baseline+native,61.36
11.0.2,baseline+native,60.10
11.0.2,baseline+native,62.98
11.0.2,baseline+native,63.33
11.0.2,tuned,61.64
11.0.2,tuned,61.65
11.0.2,tuned,61.76
11.0.2,tuned,59.90
11.0.2,tuned,63.04
11.0.2,tuned,60.14
11.0.2,tuned,60.61
11.0.2,tuned,60.13
11.0.2,tuned,62.12
11.0.2,tuned,63.41
11.0.2,tuned+native,54.63
11.0.2,tuned+native,55.22
11.0.2,tuned+native,55.54
11.0.2,tuned+native,58.64
11.0.2,tuned+native,56.45
11.0.2,tuned+native,56.24
11.0.2,tuned+native,52.11
11.0.2,tuned+native,56.76
11.0.2,tuned+native,56.82
11.0.2,tuned+native,55.47
11.0.2_openj9,baseline,123.75
11.0.2_openj9,baseline,124.75
11.0.2_openj9,baseline,123.94
11.0.2_openj9,baseline,122.49
11.0.2_openj9,baseline,123.28
11.0.2_openj9,baseline,123.09
11.0.2_openj9,baseline,121.61
11.0.2_openj9,baseline,121.66
11.0.2_openj9,baseline,121.44
11.0.2_openj9,baseline,119.76
11.0.2_openj9,baseline+native,101.33
11.0.2_openj9,baseline+native,100.43
11.0.2_openj9,baseline+native,102.07
11.0.2_openj9,baseline+native,103.48
11.0.2_openj9,baseline+native,101.77
11.0.2_openj9,baseline+native,103.73
11.0.2_openj9,baseline+native,100.50
11.0.2_openj9,baseline+native,100.81
11.0.2_openj9,baseline+native,102.48
11.0.2_openj9,baseline+native,101.40
11.0.2_openj9,tuned,57.14
11.0.2_openj9,tuned,62.91
11.0.2_openj9,tuned,57.76
11.0.2_openj9,tuned,56.49
11.0.2_openj9,tuned,56.60
11.0.2_openj9,tuned,56.28
11.0.2_openj9,tuned,57.25
11.0.2_openj9,tuned,59.25
11.0.2_openj9,tuned,55.96
11.0.2_openj9,tuned,58.12
11.0.2_openj9,tuned+native,55.43
11.0.2_openj9,tuned+native,52.65
11.0.2_openj9,tuned+native,51.02
11.0.2_openj9,tuned+native,51.36
11.0.2_openj9,tuned+native,51.84
11.0.2_openj9,tuned+native,54.25
11.0.2_openj9,tuned+native,51.28
11.0.2_openj9,tuned+native,52.29
11.0.2_openj9,tuned+native,51.67
11.0.2_openj9,tuned+native,51.21
